text,task_1,task_2
@pbhushan1 कमीने कुत्ते भी कोरोना से बच गये,HOF,PRFN
"@BJP4India अगर धरना देने से सब सही हो जाता तो, कुरुक्षेत्र में "" श्री कृष्ण "" भी अर्जुन को यही उपदेश दिए होतें ✍ जय श्री राम 🙏🙏🚩🚩  #CruelMamata   #PresidentsRuleinBengal   #BengalBurning",NOT,NONE
Thanks a lot for your prayers. We need more of that #BengalBurning #राष्ट्रपति_जी_बंगाल_संभालो https://t.co/9hbqs3g6RH,NOT,NONE
@IndiaToday ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,NOT,NONE
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/E9VWaa6I3d,NOT,NONE
#BlackDayForChhattisgarh एक तरफ कहते है #CovidVaccine  नही लगवा रहे दूसरी तरफ खुद कांग्रेस के  मुख्यमंत्री भूपेश बघेल टीकाकरण निरस्त कर रहे इनको देश से कोई मतलब नहीं है  इतिहास का यह भी काला दिन है। सब याद रखा जायेगा https://t.co/gVVwjcODMs,HOF,OFFN
@AnumaVidisha मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,HOF,PRFN
"@varunpuri1984 दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी ,  कोरोना दिखा किन्तु अब हिंसा , लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं 😡😡  #PresidentsRuleinBengal  #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence",NOT,NONE
@aajtak @ABPNews @ndtvindia @News18India @indiatvnews  सब को अपनी औकात यूपी में ही दिखानी है।गुदा है तो बंगाल से जा कर रिपोर्टिंग करो और लोट लोट के न्यूज दिखाओ। #BengalBurning  #PresidentRuleInBengal @BycottAajtak @sambitswaraj https://t.co/t7JtsnV5zE,NOT,NONE
【दिलचस्प जानवर♯77】https://t.co/t4FzRPuEbv Animal happening that makes me laugh from the bottom of my heart for a few minutes. मैं हँसूँगा of ऐसा जानवर जो मुझे अपने दिल के नीचे से कुछ मिनटों के लिए हँसाता है 笑っちゃった・数分間心から爆笑する動物ハプニング,NOT,NONE
"@narendramodi बेटा तुमसे न‌ हो पायेगा ,  #Resignmodi",NOT,NONE
चालान काट दो  हजार - दो हजार का 0.26 पैसे का तुम पर  मास्क नहीं बांटा जाता ... #मोदी_का_सिस्टम_ले_डूबा  #ModiKaVaccineJumla  #ModiDisasterForIndia  #मोदी,NOT,NONE
@aajtak अगर वेश्या धर्म की बात करे तो.......... गले नही उतरेगी....,HOF,HATE
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/qXQfusN1Cf",HOF,OFFN
#ModiKaVaccineJumla #ModiResign #IndiaFightsCorona #PMCaresFund_का_हिसाब_दो #PMDoesNotCare https://t.co/hFeiufQOVj,NOT,NONE
"*झारखण्ड कोविड वार रूम के सम्पर्क नम्बर्स* #jharkhandfightscorona #westandunited #IndiaCovidCrisis #IndiaFightsCorona JHALSA :-9155509367 RANCHI: - 9852361365, 8757137746, 7870262883, 9334941801, 06512223351 / 9431319907",NOT,NONE
@uttammeena21 काला कुत्ता लिखना चाहता था  बोले तो पीडी का भाई जिसके हिस्से के बिस्किट हिमंता बिस्बा सरमा को ऑफर किये गए थे......,NOT,NONE
#ModiKaVaccineJumla #ModiResign #IndiaFightsCorona #PMCaresFund_का_हिसाब_दो #PMDoesNotCare https://t.co/ac5fiuxa13,NOT,NONE
"@JPNadda आप लोग उत्तर प्रदेश गंवा देंगे, लिख कर रख लीजिए!!  #बंगाल_हिंसा  #BengalBurning",NOT,NONE
सही कहे हो मियां महागठबंधन वालों के लिए... दोमुंहे सांप शब्दों का प्रयोग एकदम सही किए हो। जीतना यह लोग एक दूसरे को कोस ले पर है तो एक ही दुष्ट धुरी के घटक। https://t.co/bLPjDFT3O9,HOF,HATE
"“हम अंधेरों का साथ दे बैठे अब चिताओं से मुल्क रौशन है हम रहें या न रहें,जमाना तो रहेगा वक्त के साथ लोग  याद  रखेगें इस दौरे हुकूमत की नाकामियों को”   #ResignModi",NOT,NONE
@anuragspparty आप चुप रहो,NOT,NONE
@BJP4India @JPNadda सिर्फ साथ खड़े रहकर तमाशा ना देखे🙏  #बंगाल_में_राष्ट्रपति_शासन_हो  #PresidentsRuleinBengal  #BengalBurning #BengalViolence https://t.co/a1uM8d1RyF,NOT,NONE
D 4 Medicine dose:2 Xi Jinping तुम्हारी मां (CCP) का भोस**   Xi Jinping तुम बहुत ही भयानक मौत मरोगे!   #chinesevirus #chinesevirus  #chinesevirus #chinesevirus #chinesevirus #ChineseVirus #ChinaLiedPeopleDied #RohitSardanaPassesAway #OmShantiRohitSardana #aaj_tak Jai Hind🇮🇳,HOF,PRFN
"दोस्तों, आओ हम सब सर्वसम्मति से महान अर्थशास्त्री, धुरंधर वैज्ञानिक, अंतर्राष्ट्रीय किसान, भयंकर सवर्ण-दलित मसीहा #चुदित राज जी को खांग्रेस #अध्यक्ष एवं #पलधानमंतली बनाएं !!🙏 ""सभी #समस्याएं समाप्त"" #उदित_राज_को_अध्यक्ष_बनाओ_बे @Dr_Uditraj  #CovidVaccine https://t.co/HrWBrorcLe https://t.co/onTPqosQMK",HOF,PRFN
#JusticeForShahabuddin  सब याद रखा जाएगा...  @ShayarImran,NOT,NONE
और ये ही भावुकता आपके प्रचार मंत्री जी दिखाते तो एक मिनट में आप उनको भगवान का अवतार घोषित कर देते। वैसे आपदा को अवसर के रूप में बखूबी इस्तेमाल कर रहे है माननीय प्रचार मंत्री जी। #25सांसद_लापता_है #ModiKaVaccineJumla #बिना_वैक्सीन_कैसा_टीकाउत्सव  @samachar_bharat https://t.co/XVhOGp90fM,HOF,OFFN
अगरआज @BJP4India की ताकत धरना देने की  है तो आप को मिली बहुमत किसी काम की नहीं आप को चुनना देश की सबसे बड़ी गलती थी   धरना तो विपक्ष देता है  सरकार काम करती है  जो नही करती जनता फिर उसका काम तमाम करती है #SpinelessBJP #CruelMamata #बंगाल_हिंसा #BengalBurning https://t.co/3Mq2RzfYEe,NOT,NONE
@doctorrichabjp क्यो  जनसंख्या काम तो कर रहे है मोदी जी जो 2014 से ही भड़ गई है गोबर भक्तो को दिख नहीं रहे लगता है 100 स्मार्ट सिटी में हो शायद #ResignModi #कंगना_तुम_कहाँ_हो  #भाजपा_गिध्द_सोच_पार्टी,HOF,OFFN
जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें #JusticeForShahabuddin,NOT,NONE
"आप oxygen cylinder नहीं खरीद पा रहे,वहां बंगाल में अब विधायकों की मंडी लगेगी 🙏🏻 #IndiaCovidCrisis #COVID19",NOT,NONE
इतने बड़े दर्द कष्ट पीड़ा प्रमाद दुख से कैसे बाहर आए यह तो नहीं पता। परंतु political agenda ने हमारी जान ली है। #मोदी_है_तो_मातम_है  #sardanarohit #शूटर_दादी_चंद्रो_तोमर  #FridayThoughts #ModiKaVaccineJumla,HOF,HATE
"@PoonamBrdwj आज ‘साहेब’ का TV चैनलों को नया फ़रमान!  • #COVID19 पर चर्चा बंद करो। • #OxygenShortage पर चर्चा बंद करो। • #REMDESIVIR नही हैं, चर्चा बंद करो। • #Tocilizumab नही है, चर्चा बंद करो। • #HospitalBed पर चर्चा बंद करो।  केवल चुनाव पर चर्चा करो। #ModiKaVaccineJumla  #ModiResign",NOT,NONE
"बुलबुल को बागबां से न सैयाद से गिला, किस्मत में कैद लिखी थी फसल-ए-बहार में… दिन ज़िन्दगी खत्म हुए शाम हो गई, फैला के पांव सोएंगे कुंज-ए-मज़ार में… कितना है बदनसीब ""शाहाब"" दफ्न के लिए, दो गज़ ज़मीन भी न मिली कू-ए-यार में! #JusticeForShahabuddin #जस्टिस_फॉर_शहाबुद्दीन",NOT,NONE
@RohiniAcharya2 चेहरा छुपा लिया है किसी ने हिजाब में  जी चहता है आग लगा दूं उनके नकाब में ! #JusticeForShahabuddin,NOT,NONE
@sujitsingh__ मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
@imtiaz_jaleel हमें आप लोगों से उम्मीद है कि आप लोग #ShahabuddinSaheb के साथ जो हुआ उस से सबक लेंगे और #आज़म_खान साहेब की रिहाई के लिए एक्शन लेंगे! #आजम_खान_की_जान_बचाओ  #JusticeForShahabuddin,NOT,NONE
@_garrywalia भाजपा के द्वारा 20.000 करोड़ लगा कर और चुनाव आयोग को हाई जेक करकर भी यदि भाजपा बंगाल में चुनाव हार रही हे तो ये फ़क़ीर की व्यक्तिगत हार हे #ResignPMmodi #BengalElection2021 #KhelaHobe,HOF,HATE
आज भाजपा दिल्ली कैंट मंडल के पदाधिकारियों द्वारा खूनी @AITCofficial सरकार के विरोध में प्रदर्शन किया गया। बंगाल में कानून व्यवस्था धवस्थ हो चुकी है @MamataOfficial के नेतृत्व में TMC कार्यकर्ता देश की लोकतांत्रिक नींव को नष्ट कर रहे हैं। #BengalBurning  @adeshguptabjp @BJP4Delhi https://t.co/RRpMQdW1zE,NOT,NONE
"केंद्र की कोरोना के असफलता को छिपाने की साजिश हो सकती है बंगाल हिंसा, हो सकता है खुद से प्रायोजित की गई हो, आपकी क्या राय है ? #BengalBurning #Bengalisburning",NOT,NONE
"@sanjbhj @AjaySadanand @_YogendraYadav @narendramodi @nstomar मतिभ्रमित भाई,तू जाँच एजेंसी हैं? केजरीवाल की जाँच करे बिना ट्विटर पर बकबक शुरू?गधे,ईमानदार राजनीती के चमकते सितारे हैं केजरीवाल,मोदी की तरह दुष्ट,भ्रष्ट,नकारा,गद्दार नहीं!😏",HOF,OFFN
@INCChhattisgarh गधा को घोड़ा बनाने के चक्कर में,HOF,OFFN
@thakur_maanvi बीजेपी में इस कमीने को लेगा कौन????,HOF,OFFN
"संघ को जानना है तो (केरल, कश्मीर, बंगाल से भागकर) शाखा में आईये। केन्द्र में होकर भी एक पैसे का साहस नहीं है इनलोगों में। बस हिन्दुओं की लाश पर रोटी सेंकने का प्रशिक्षण मिला है। स्वयं नष्ट होना चाहते हो तो डूब मरो। बाकियों को क्यों कटवा रहे हो ? #BengalBurning  #BengalViolence",NOT,NONE
"अरे चुप रहो तुम सब~मोदीजी से इतनी जलन क्यों है भाई..?  जीवित लोगों का तो बात ही छोड़ो, मरे हुए लोगों को भी आजकल बिल्कुल मुफ्त में टीका लग रहा है, मोदीजी के गुजरात में।  बड़े आए मोदीजी के विरोध करने वालों......... हुमममममममम #मुर्दा_मोदीजी_के_साथ_हैं 😎",NOT,NONE
@PMOIndia @AmitShah @EduMinOfIndia @India_NHRC @anilvijminister @cmohry इस देश में सब चल रहा है। बस बन्द है सिर्फ शिक्षा और शिक्षण संस्थानों में काम करने वालों के चूले। करोना शिक्षण संस्थानों में है बाकी तो एंटीडॉप है शिक्षक और शिक्षा जाओ भाड़ में  रस्सी लेके फांसी ला लो,HOF,OFFN
"@AnilsriLucknow @Dr_Uditraj दोस्तों, आओ हम सब सर्वसम्मति से महान अर्थशास्त्री, धुरंधर वैज्ञानिक, अंतर्राष्ट्रीय किसान, भयंकर सवर्ण-दलित मसीहा #चुदित राज जी को खांग्रेस #अध्यक्ष एवं #पलधानमंतली बनाएं !!🙏 ""सभी #समस्याएं समाप्त"" #उदित_राज_को_अध्यक्ष_बनाओ_बे @Dr_Uditraj  #CovidVaccine https://t.co/HrWBrorcLe",NOT,NONE
"@GitaKum52950779 हेय भगवान छी राम राम ,कितना गिरा ह ये सूअर लोग छी आ थू😠",HOF,OFFN
@bachpanamitabh @GaddaJP #Hindus DYING #HindusLivesMatter   #KindAttnPMNarendraModi  #coronasecondwaveinindia #ModiMadeDisaster #ResignModi    #BJP #RSS LIARS   I WARNED 2 YRS BACK #RSSTerrorists BANNED BY SARDAR PATEL IGNORED  #शेर_नहीं_भेड़िया_पाल_लिया_भक्तो  #MautKaSaudagar,NOT,NONE
@ppbajpai बंगाल में हो रही BJP कार्यकर्ताओं की नृशंस हत्या पर  चुप हैं !क्या साँप सूंघ गया क्या ? @ppbajpai  #BengalBurning,NOT,NONE
@aryavartbrahman @HinduTitle कोई मूर्ख ही ब्राह्मण को कम समझेगा विप्र🙏🏻 प्रणाम!,HOF,OFFN
@AamAadmiParty @raghav_chadha मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
"बंगाल में हो रही हत्या,बलात्कार और लूट की जिम्मेदारी किसकी हैं ?? #CruelMamata #BengalBurning",NOT,NONE
अड़े थे ज़िद पे के सूरज बनाके छोड़ेंगे  पसीने छूट गए एक दीया बनाने में  मेरी निगाह में वो शख्स आदमी भी नहीं  जिसे लगा है ज़माना खुदा बनाने में  अभी इन्हें न परेशान करो मसीहाओं  मरीज़ उलझे हुए हैं दवा बनाने में  #ModiKaVaccineJumla  #ModiResign @narendramodi @PMOIndia,NOT,NONE
इस तरह की अफवाह फैलाने वाले को सजा होनी चाहिए इस्लाम धर्म की खूबसूरती को बदनाम करने की साजिश है। #BengalBurning #BengalElection2021 https://t.co/FvD2JSUtUa,NOT,NONE
Condition Of Bengal is Horrible...!  How Can Common People lives??   #BengalBurning #BengalViolence #Bengalisburning #PresidentsRuleinBengal #राष्ट्रपति_जी_बंगाल_संभालो https://t.co/q2oSp9386B,NOT,NONE
"@randm_indianguy दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी ,  कोरोना दिखा किन्तु अब हिंसा , लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं 😡😡  #PresidentsRuleinBengal  #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence",HOF,HATE
जब शहाबुद्दीन अपनी आखिरी सांसे ले रहे थे तब से लेकर दफनाने तक कहा था लालू परिवार ? और कहा थे उनके पार्टी के नेता ?  क्यों उनकी बॉडी बिहार लेजाने नहीं दी ?  उनकी मौत हुई है या उन्हें मेरा गया है ?  #JusticeForShahabuddin https://t.co/nRuyHZRCZq,NOT,NONE
दिल्ली में दंगे हुए चुप बंगलोर में हुए चुप पंजाब पे चुप लाल किले पे तिरंगे का अपमान चुप अंतराष्ट्रीय मीडिया में अपमान चुप बंगाल में सरेआम कत्ल और पलायन अब भी चुप सब यही कहते और सोचते थे कि अरे मोदी जी हैं शाह जी हैं पर हुआ ये की हथिया आइल हथिया आइल हथिया पदलस भों। #BengalBurning,NOT,NONE
अवैध रूप से मवेशियों को ठूंसकर ले जा रहा कंटेनर पलटा - https://t.co/QTcw7C1yie https://t.co/6jTfNd6CIj,NOT,NONE
"@Ijantajanardan @Dr_Uditraj दोस्तों, आओ हम सब सर्वसम्मति से महान अर्थशास्त्री, धुरंधर वैज्ञानिक, अंतर्राष्ट्रीय किसान, भयंकर सवर्ण-दलित मसीहा #चुदित राज जी को खांग्रेस #अध्यक्ष एवं #पलधानमंतली बनाएं !!🙏 ""सभी #समस्याएं समाप्त"" #उदित_राज_को_अध्यक्ष_बनाओ_बे @Dr_Uditraj  #CovidVaccine https://t.co/HrWBrorcLe",NOT,NONE
@narendramodi जी बंगाल की हालत देखिये।कार्यकर्ताओं में एक आस है कि आप कुछ करेंगे इनकी रक्षा करये। @AmitShah @JPNadda @BJP4India @BJYM  #BengalViolence #BengalBurning  #ShameOnMamata #ShameOnTMC https://t.co/lWTq5sgjXa,NOT,NONE
@ndtv मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
Trending now. #नरेंद्र_मोदी_ग्लोबल_पप्पू_है  #मोदी_भगाओ_देश_बचाओ  #मोदी_इस्तीफा_दो  #ResignModi  #ModiMustResign https://t.co/iJp5YF5FHP,NOT,NONE
दोगला पन ये गद्दार नहीं चाहते देश को https://t.co/t1LleQnZOJ,HOF,HATE
"@MahiJain_S @opshukla0 अच्छी बात है,कम अच्छे हैं कमीने नही।",HOF,PRFN
चाणक्य ने कहा था कि जो राजा अपने लोगों को पुरस्कृत और दुश्मनों को दण्डित नहीं कर सकता उसका अंत निश्चित है.🙏🏻 #BengalBurning  @Kanchansinghch2 @vishal_pratap06 @vishalurl @VeDikaS16 @vikasawasthi274 @Deepaktrss @AmitShah @AshwiniUpadhyay @Preeti_2202 @Brand_Anuj,NOT,NONE
"CM भूपेश बघेल आज कोरोना संक्रमण और उपायों की करेंगे बैठक, मंत्रियों और अधिकारियों से होगी चर्चा  https://t.co/M0p6e4UCrG  #bhupeshbaghel #meeting #Ministers #COVIDSecondWave #CovidVaccine #NewsUpdate",NOT,NONE
@aajtak अखंड चुटिया पान।।,HOF,PRFN
"ना जानें कितने ""चिरागों"" को मिल गई शोहरत एक ""आफताब"" के बे वक्त डूब जाने से ।  #JusticeForShahabuddin",NOT,NONE
Mr.  PM @narendramodi &amp; HM @AmitShah   आँखों मे पट्टी बांध ली क्या आपने?  @sambitswaraj @anujdhar  @KapilMishra_IND @majorgauravarya  #BengalBurning #BengalViolence  #Bengalisburning https://t.co/ItMLMLTiDD,NOT,NONE
@SurajTh23627931 @Rautparody61 वो गधा या तो आशाराम की देन है या फिर नेहरू की क्योंकि असली गधे ने इसको पैदा नही किया,HOF,OFFN
@news24tvchannel @sandeep_news24 @IGuruPrakash @Aloksharmaaicc अभी अभिमन्यु फ़ूहड़ ने यह कहा है कि कानून तो लागू हो रहे हैं धीरे-धीरे मंडिया बंद हो रही हैं इस गधे से पूछो अगर कानून लागू हो रहे हैं तो लोगों को विरोध करना चाहिए कहां हैं किसान विरोध है इन सब को मुंह की खानी पड़ रही है,HOF,OFFN
"@YParashari @BBCHindi अब होत का,जब कुतिया बिलबिलाए",HOF,OFFN
ये तकलीफ बर्दाश्त नही हो रही ये लोग हमेशा फायदा उठाये है साहब का और आज जरूरत है तो कहा है ये लोग Tejashwi Yadav याद रखना हम भक्त नही है   Lalu Prasad Yadav  Tej Pratap Yadav  R.J.D - राष्ट्रीय जनता दल  #Shahabuddin  #JusticeForShahabuddin #boycottrjd,HOF,HATE
"कुर्सी है, यह तुम्हारा जनाजा तो नहीं है। कुछ कर नहीं सकते तो उतर क्यों नहीं जाते। #ResignPMmodi  #ScrapCentralVista https://t.co/nc7JGq870u",HOF,OFFN
"जो लोग मुसलमानों के मसीहा बने बैठे थे,  एक एक करके सारे दोगले चेहरे बेनकाब हो रहे है,   फिर चाहे वो दिल्ली के केजरीवाल, उत्तर प्रदेश के अखिलेश या फिर बिहार के तेजस्वी यादव हो!!  #JusticeForShahabuddin",HOF,HATE
"बंगाल हिंसा के पीड़ितों की मदद के लिए आगे आए भाजपा नेता कपिल मिश्रा, कहा, जो कश्मीर में हुआ वो दोबारा नहीं होने देंगे। #Bengalvoilence #BengalElection2021 #BengalBurning @KapilMishra_IND @anirbanganguly @BJP4India @JPNadda @DilipGhoshBJP @KailashOnline https://t.co/K8qlTdcHUQ",NOT,NONE
इन तबलीगी जमात वालो ने देश का बेड़ा गर्क कर दिया हैं #CoronaBomb #islamophobia #CoronaJihad #Islamophobia_in_india #islamophobie #SadanandTemple,HOF,HATE
"मरहूम को सुपर्द ए खाक कर दिया गया, अल्लाह शहाबुद्दीन साहब को जन्नत उल फिरदौस में जगह दे, ओसामा शहाब को हिम्मत व हौसला दे… #ShahabuddinSaheb #JusticeForShahabuddin https://t.co/yu9SswAaoa",NOT,NONE
कुरान में लिखा है की बीजेपी 72 हुर और जन्नत पाने के राह में रोड़ा है इसलिए मुसलमान भाजपा को कभी वोट न करें? मुसलमान इतने मुर्ख है की बार बार कांग्रेस के बहकावे मे आ जाते है।?? https://t.co/qD6picbSrN,HOF,HATE
"@janardanmis पता नहीं हिन्दुओ को कभी अकल आएगी भी के नहीं; घर में कोई हथियार भी नहीं रखते। अधिकतर की तो ये हालत हैं के घर में एक डंडा तक नहीं हैं लेकिन iphone जरूर मिलेगा। और आजकल नए #FakeNarrative में फंसे हैं - मोदी हटाओ, योगी हटाओ। बस भाजपा अकेले #jihad से लड़ ले। #BengalBurning",HOF,HATE
पश्चिम बंगाल हिंसा से जोड़कर शेयर किया जा रहा वीडियो आंध्र प्रदेश में कोरोना पीड़ित परिवार का https://t.co/1bVhTqGLTA   #spinelessmodi #SpinelessBJP #CruelMamata #BengalBurning #ShameOnMamata #ModiAbandonedIndia,NOT,NONE
"@BJP4India को वोट दिया है और शायद देंगे भी, लेकिन भाई अगर अपनी रक्षा खुद ही करनी है तो अभी से त्यारी करो। #BengalElection2021 #BengalBurning #bengalvoilence",NOT,NONE
"#अजब_गजब न खेलम न खेले देम, खेलवे बिगाड़ देम  इसी पद्धति पर सरकार के आला अधिकारी काम कर रहे हैं। #IndiaFightsCorona  #IndiaCovidCrisis https://t.co/kQ0mlxPMKo",NOT,NONE
ज़िंदगी और मौत दोनों से डर रहे है। बंदे में कुछ तो ख़ास बात थी। इसलिए ही लाश देने से डर रहे है। #JusticeForShahabuddin,NOT,NONE
Rohit Sardana  Rest In Peace 🙏  देश और देश के नागरिकों को इस से लड़ना है हम हार नहीं मानेंगे हम इस से लड़ेंगे और जीतेंगे भी 🇮🇳 जय हिंद   Go corona go   #Chinesevirus 🤬 #WuhanVirus 🤬  🇮🇳💪  #Unite2FightCorona  #IndiaFightsBack,NOT,NONE
गधा धोएर गाई हुँदैन  भन्दै शुभरात्री टक्र्याउन चाहान्छु,NOT,NONE
#SuperSpreaderModi #ModiDisasterForIndia  #ResignModi #Resign_PM_Modi  #VaccineRegistration  #cowinregistration #KindAttnPMNarendraModi #किसानों_का_मोदी_को_धोबीपटका https://t.co/oXrpanrIkQ,NOT,NONE
"@LucknowMsk न मूर्ख हैं,न जनता को मूर्ख मान लिए हैं, ये जनता को मूर्ख बनाने की होड़ में लगे हैं कुछ तो जबाब देना ही पड़ेगा।",NOT,NONE
#Hindus DYING #HindusLivesMatter   #KindAttnPMNarendraModi  #coronasecondwaveinindia #ModiMadeDisaster #ResignModi    #BJP #RSS LIARS   I WARNED 2 YRS BACK #RSSTerrorists BANNED BY SARDAR PATEL IGNORED  #शेर_नहीं_भेड़िया_पाल_लिया_भक्तो  #MautKaSaudagar https://t.co/1Yv3qB9NVD,NOT,NONE
#AAP  के विधायक ने  माना कि   #दिल्ली में जनता की दुर्दशा सहूलियत ना मिलने के कारण है ! तो फिर आप की सरकार कर क्या रही है? #DelhiNeedsOxygen  #CovidVaccine https://t.co/SYk4ncbIEY,NOT,NONE
"राजीव बनर्जी का आरोप केंद्र बंगाल सरकार को धमका रही है।                         कमिने को पता         है कि   बंगाल सरकार हिंदूओं की हत्या, बलात्कार कर वा रही है। बंगाल  को कश्मीर बनने जा रही है। आरोप केंद्र सरकार पर।",HOF,OFFN
"कनाडा में एक मुस्लिम परिवार के 4 फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है। यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैर-मुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक ""इस्लामिक आतंकवाद"" का रंडी-रोना रो रही होती। #IslamophobiaIsTerrorism",HOF,HATE
क्या साबुद्दीन का RJD ने लालू जी के बदले  सौदा किया  आपकी क्या राय है #JusticeForShahabuddin,NOT,NONE
समुद्र के सामने भी भगवान श्रीराम ने पहले धरना दिया था और उसके बाद धनुष पर प्रत्यंचा भी चढ़ाई।  बिनय न मानत जलधि जड़ गए तीनि दिन बीति। बोले राम सकोप तब भय बिनु होइ न प्रीति॥ @narendramodi @AmitShah #बंगाल  #BengalBurning https://t.co/rIGSg8J7hZ,NOT,NONE
"@rssurjewala @INCIndia मैं देश को बताना चाहता हु, मेरा घर इसी के रास्ते में पड़ता है, पिछले 8 महीनो से काम बंद है। अब आप लोग देख लो ये लोग कितने नीचे गिर चुके है। #IndiaCovidCrisis  @BJP4India @RahulGandhi #CoronaPandemic",NOT,NONE
"@sahityasrijan कई दिनों तक चूल्हा रोया, चक्की रही उदास कई दिनों तक कानी कुतिया सोई उनके पास कई दिनों तक लगी भीत पर छिपकलियों की गश्त कई दिनों तक चूहों की भी हालत रही शिकस्त। -नागार्जुन",HOF,OFFN
@khesariLY एक गाना हम भी सोचे है सुनो lखेसारिया के बेटी सपनवा मे आती है कैसा लगा 2 टके का गायक l.. तुम जो चाची के bachiऔर ना कितने फूहड़ गीत  गाये lइसका मतलब समझते हो l शब्द का मर्यादा रखने सीखो l किसी को चैलेंज मत करो बिहार है l नही तो दौड़ाकर कुटेगा l याद तो होगा ही l,HOF,OFFN
"@AcharyaPramodk बाबा कब सुधरोगे, ज्यादा लिखने से अपने आप को एक्सपोज़ कर रहे हो, बाबा कुछ धार्मिक कुछ ग्रंथि की बाते भी कर लो। हर चीज़ पर कमेंट बचकानी और फूहड़ लगती है । फिर आप में और नरसिंघा नंद सरस्वती में क्या अंतर, वो भी गली देता और आप भी। फिर आचार्य को ढोंग क्यों, दिग्विजय के राह पर हो।",HOF,OFFN
#ममता की #निर्ममता की पराकाष्ठा .... जबरन करने पर उसने हाथ जोड़ मौत ही माँगी होंगी पर #Tmcके_दरिंदो ने मिलकर उस अकेली को सारी रात #नोचा_तार_तार किया ओर फिर #मार दिया। जुर्म बस इतना कि चुनाव में Bjp को समर्थन पर #ममता_मौन हे।  #ShameOnMamata #CruelMamata #TMCTerror #BengalBurning https://t.co/aqauDVNktr,NOT,NONE
#corona #ModiKaVaccineJumla #coronavirus  कोरोना से संबंधित किसी भी प्रकार के लक्षण दिखने या कोरोना के बारे में जानकारी हेतु फ्री सेवा फोन पर प्राप्त करने के लिए dr Harjot Singh(MD) को फोन करे और फ्री एडवाइस पाए। कॉल टाइम सुबह 10 से रात 10 बजे तक। mobile no-7973545104,NOT,NONE
@satyamy08169868 @pankajanshri @MainVivekSharma @narendramodi पूरी दुनिया के साक्ष्य प्रमाणित कर चुके हैं कि बौद्ध प्राचीनतम सभ्यता है और तेरा हिन्दू ब्राह्मण रांडपूत वैश्या ईरानी हिन्दू मानसिक अपंग स्थिति में सड़ातन असर में रहने लगे हैं,HOF,PRFN
जल्द ही सुहागरात भी चौराहे पर मनाना आधुनिकता कहलाएगा। जब यही सब आधुनिकता है तो कुत्ते-कुतिया हमसे अधिक आधुनिक हैं। ये फोकटी आधुनिकता ले डूबेगी। क्योंकि फटी जीन्स में आपको वही लोग नहीं देखना चाहते जो आपके शुभचिंतक है। बाकी दुनिया तो आपकी बहन बेटियों को नंगा देखना चाहती ही है। https://t.co/N97mpdiUA7,HOF,PRFN
