Post,Labels Set,Category,Dataset,Processed_Post
কি বাল গালি দিছে হে তাতে হইছেটা কি খেলতে পারে আমার সাউয়া খেলে। আবার বেতন বাড়ানের জন্য ফাল চোদায়।পাবলিক কিছু কইলে চামচামি করার চামচাগো অভাব থাকে না।,1,sports,Bengali hate speech ,কি বাল গালি দিছে হে তাতে হইছেটা কি খেলতে পারে আমার সাউয়া খেলে। আবার বেতন বাড়ানের জন্য ফাল চোদায়।পাবলিক কিছু কইলে চামচামি করার চামচাগো অভাব থাকে না।
কিছু করার নাই মানুষকে মারতে মনে তাকে না হারামিরা,1,crime,Bengali hate speech ,কিছু করার নাই মানুষকে মারতে মনে তাকে না হারামিরা
ভিডিও অাপ এর সাথে ওলটা পালটা ক্যাপশন গুলো জানোয়ার এর বাচ্চারই দিতে পারে।,1,religion,Bengali hate speech ,ভিডিও অাপ এর সাথে ওলটা পালটা ক্যাপশন গুলো জানোয়ার এর বাচ্চারই দিতে পারে।
খানকি তরে পাইলে চুদা কারে কয় বুজাইতাম। আমিও বলি স্যারের কোনো দোষ নাই সব দোষ তর। তদের মত এমন ব্যাসসার জন্য আজ বাংলার ঘরে ঘরে অশান্তি।,1,crime,Bengali hate speech ,খানকি তরে পাইলে চুদা কারে কয় বুজাইতাম। আমিও বলি স্যারের কোনো দোষ নাই সব দোষ তর। তদের মত এমন ব্যাসসার জন্য আজ বাংলার ঘরে ঘরে অশান্তি।
জুতা মার সালা সিন্নি খোর কে।,1,religion,Bengali hate speech ,জুতা মার সালা সিন্নি খোর কে।
খানকির পোলা এইসব ছাড়া কি তোর কাজ নাই না থাকলে ওবায়দুল কাদেরের ময়লা পরিস্কার কর।,1,politics,Bengali hate speech ,খানকির পোলা এইসব ছাড়া কি তোর কাজ নাই না থাকলে ওবায়দুল কাদেরের ময়লা পরিস্কার কর।
দুই বছর আগে কেন এই ঘটনাটা ফাঁস করল না ক্রিকেট বোর্ড এখন কেন তারা এই ঘটনাটা ফাঁস করল নিশ্চয়ই তাদের পাছায় ক্রিকেট খেলোয়াড়রা লাথি মেরে ছিল সেজন্য,1,sports,Bengali hate speech ,দুই বছর আগে কেন এই ঘটনাটা ফাঁস করল না ক্রিকেট বোর্ড এখন কেন তারা এই ঘটনাটা ফাঁস করল নিশ্চয়ই তাদের পাছায় ক্রিকেট খেলোয়াড়রা লাথি মেরে ছিল সেজন্য
সব গুলার বিচির মধ্যে হাতুরি দিয়া বারি দিয়া জীম ধরাই দিতে হইবে৤ তেল বারি গেছেমাংচোদ,1,sports,Bengali hate speech ,সব গুলার বিচির মধ্যে হাতুরি দিয়া বারি দিয়া জীম ধরাই দিতে হইবে৤ তেল বারি গেছেমাংচোদ
সালা আসলেই লুচ্চা,1,"Meme, TikTok and others",Bengali hate speech ,সালা আসলেই লুচ্চা
আর কত অপরাধী...<br />শেষ পর্যন্ত নাটক...<br />😁😁😁<br />like hare,0,entertainment,Bengali hate speech ,আর কত অপরাধী...<br />শেষ পর্যন্ত নাটক...<br /><br />like hare
এই কুত্তার বাচ্চা ছেলে আর ওর বউ ওদের সন্তানের হাতে খুন হবে 🤬,1,"Meme, TikTok and others",Bengali hate speech ,এই কুত্তার বাচ্চা ছেলে আর ওর বউ ওদের সন্তানের হাতে খুন হবে 
আরে সালার পো সালারা সামান্য গালি নিয়ে এত্ত কাহিনি করস কেন,1,sports,Bengali hate speech ,আরে সালার পো সালারা সামান্য গালি নিয়ে এত্ত কাহিনি করস কেন
তোদের দেশ থেকে বাহির করে দেওয়া উচিত। তোরা মুসলিম সমাজের যোগ্য না। তোরা ইউরোপের কোন দেশে চলে যা সেখানে সামনের দুইটা খোলে হাটতে পারবি। তখন তাদের দেশের কুত্তায় তোদের দুধের প্রশংসা করবে।,1,entertainment,Bengali hate speech ,তোদের দেশ থেকে বাহির করে দেওয়া উচিত। তোরা মুসলিম সমাজের যোগ্য না। তোরা ইউরোপের কোন দেশে চলে যা সেখানে সামনের দুইটা খোলে হাটতে পারবি। তখন তাদের দেশের কুত্তায় তোদের দুধের প্রশংসা করবে।
নাস্তিকদের জুতা দিয়ে মারা উচিৎ,1,religion,Bengali hate speech ,নাস্তিকদের জুতা দিয়ে মারা উচিৎ
বস নাম্বার ওয়ান সাকিব খান কিং খান আমাদের জান,0,entertainment,Bengali hate speech ,বস নাম্বার ওয়ান সাকিব খান কিং খান আমাদের জান
তোমার ভুদা দেখে অনেক হাত মারছি,1,entertainment,Bengali hate speech ,তোমার ভুদা দেখে অনেক হাত মারছি
মুসপিক এর খবর নাই আর খানকির পোলার গো দালালি,1,sports,Bengali hate speech ,মুসপিক এর খবর নাই আর খানকির পোলার গো দালালি
তাহেরি হারামি,0,religion,Bengali hate speech ,তাহেরি হারামি
বেয়াদোবের বাচচা বেয়াদব তোরে জুতা দিয়া পিটামু জানোয়ারের বাচচা,1,entertainment,Bengali hate speech ,বেয়াদোবের বাচচা বেয়াদব তোরে জুতা দিয়া পিটামু জানোয়ারের বাচচা
নবীকে গালি দেয় কারও গায়ে লাগেনা ক্রিকেট খেলা হারাম সেই খেলোয়াড় কে গালি দিয়েছে দেখে কি অবস্থা আমরা অনেকেই জানিনা যে ক্রিকেট ফুটবল খেলা হারাম যেই খেলাতে টাকা লেনদেন হয় সেই খেলা হারাম আর আমরা হারামির জন্য লড়াই করি।,0,sports,Bengali hate speech ,নবীকে গালি দেয় কারও গায়ে লাগেনা ক্রিকেট খেলা হারাম সেই খেলোয়াড় কে গালি দিয়েছে দেখে কি অবস্থা আমরা অনেকেই জানিনা যে ক্রিকেট ফুটবল খেলা হারাম যেই খেলাতে টাকা লেনদেন হয় সেই খেলা হারাম আর আমরা হারামির জন্য লড়াই করি।
https://docs.g,1,religion,Bengali hate speech ,https://docs.g
"আপনার গায়েবানা জানাজা তো কালকেই পড়ছি আর আজকে জুম্মাবাদ মিলাদও ছিল আর এখন দেখি আপনি বাইচ্যা আছেন!!  কিশোর বয়সে অনেক ভাল ভাল স্মৃতি নিয়ে বড় হইছি আপনার বইগুলো পড়ে,বইগুলো পড়ে আনন্দে দুঃখে কত কানছি,,একবার এক ফ্রেন্ড আপনাকে চিঠি লিখছিল আর আপনি তার রিপ্লাইও দিছিলেন,,সেই চিঠি একবার ছুয়ে দেখার জন্য কত আবেগ,,কত টিফিনে না খেয়ে থাকছি টাকা জমিয়ে আপনার একটা বই কেনার জন্য,,আর এখন মনে হয় আপনার সব বইগুলো নিয়ে তার উপর হড় হড় করে বমি করে দেই,,কিন্তু দেইনি ,যত্ন করে রেখে দিছি আমার ছেলেমেয়ের জন্য,,,আমি যে আনন্দ পাইছি আপনার বই পড়ে ওরাও সেটা পাক।।।",0,celebrity,Bengali hate speech ,"আপনার গায়েবানা জানাজা তো কালকেই পড়ছি আর আজকে জুম্মাবাদ মিলাদও ছিল আর এখন দেখি আপনি বাইচ্যা আছেন!!  কিশোর বয়সে অনেক ভাল ভাল স্মৃতি নিয়ে বড় হইছি আপনার বইগুলো পড়ে,বইগুলো পড়ে আনন্দে দুঃখে কত কানছি,,একবার এক ফ্রেন্ড আপনাকে চিঠি লিখছিল আর আপনি তার রিপ্লাইও দিছিলেন,,সেই চিঠি একবার ছুয়ে দেখার জন্য কত আবেগ,,কত টিফিনে না খেয়ে থাকছি টাকা জমিয়ে আপনার একটা বই কেনার জন্য,,আর এখন মনে হয় আপনার সব বইগুলো নিয়ে তার উপর হড় হড় করে বমি করে দেই,,কিন্তু দেইনি ,যত্ন করে রেখে দিছি আমার ছেলেমেয়ের জন্য,,,আমি যে আনন্দ পাইছি আপনার বই পড়ে ওরাও সেটা পাক।।।"
দুইটায় গান্ডু 😂,0,politics,Bengali hate speech ,দুইটায় গান্ডু 
এমন সত্য তুলে ধরার জন্য সত্যিই মন থেকে ধন্যবাদ,0,politics,Bengali hate speech ,এমন সত্য তুলে ধরার জন্য সত্যিই মন থেকে ধন্যবাদ
জানোয়ারের বাচ্চাযতোরে জন্ম দিয়েছে তুই তার গায়ে হাত তুললিতুই তো কুত্তার চেয়েও অধমতর উপরে গজব পড়বে,1,"Meme, TikTok and others",Bengali hate speech ,জানোয়ারের বাচ্চাযতোরে জন্ম দিয়েছে তুই তার গায়ে হাত তুললিতুই তো কুত্তার চেয়েও অধমতর উপরে গজব পড়বে
ধন্যবাদ প্রিয়ভাই অনেক কিছু শিখতে পারছি। কিন্তু ভাই আমরা অন্যায়ের বিরুদ্বে রুখে দাড়াতে পারছিনা কেন ? ভাই আপনি এগিয়ে যান। দোয়া করি আপনার জন্য 😍😍,0,religion,Bengali hate speech ,ধন্যবাদ প্রিয়ভাই অনেক কিছু শিখতে পারছি। কিন্তু ভাই আমরা অন্যায়ের বিরুদ্বে রুখে দাড়াতে পারছিনা কেন ? ভাই আপনি এগিয়ে যান। দোয়া করি আপনার জন্য 
বাংলাদেশ টাকে।নরক।বানিয়েছে।হাছিনা।এই।মাগীরে।গদিথেকে।নামান।সবাই।,1,politics,Bengali hate speech ,বাংলাদেশ টাকে।নরক।বানিয়েছে।হাছিনা।এই।মাগীরে।গদিথেকে।নামান।সবাই।
টিপু ভাই বাংলাদেশ বাংলাদেশে সরকারি চাকরিজীবি আছে তাদের ডেটল সাবান দিয়ে ওয়াস করলে কখনো ভালো হবেনা। কারন বাংলাদেশ এখন আর আগের মতো সুন্দর পরিবেশ নেই। বাংলাদেশ এখন বিষ কৃট পতক্ষ ভরে গেছে। সরকারি চাকরি জীবি অপরাধ করলে তারা চারা পায় আমরা সাধারণ মানুষ কিছু করলে কোন ক্ষমা নাই । আমরা কি পানিতে ভেসে এসেছি নাকি,0,crime,Bengali hate speech ,টিপু ভাই বাংলাদেশ বাংলাদেশে সরকারি চাকরিজীবি আছে তাদের ডেটল সাবান দিয়ে ওয়াস করলে কখনো ভালো হবেনা। কারন বাংলাদেশ এখন আর আগের মতো সুন্দর পরিবেশ নেই। বাংলাদেশ এখন বিষ কৃট পতক্ষ ভরে গেছে। সরকারি চাকরি জীবি অপরাধ করলে তারা চারা পায় আমরা সাধারণ মানুষ কিছু করলে কোন ক্ষমা নাই । আমরা কি পানিতে ভেসে এসেছি নাকি
তুমি যে কত বড মাপের দালাল বোঝা যায় ষ্যাড়😀😀,1,celebrity,Bengali hate speech ,তুমি যে কত বড মাপের দালাল বোঝা যায় ষ্যাড়
এর তদন্ত করবে সরকার এরা ত সরকারের পা চাটা গুলাম তাই এরা অপরাদ করলে সরকার তার তদন্তের দায়িত্ব নিবে। এরা সরকারের কু করমের ফসল। সাবাস বাংলাদেশ বাংগা দেশ ছি ছি ছি থু থু থু সরকারের পা চাটা গুলাম।,1,crime,Bengali hate speech ,এর তদন্ত করবে সরকার এরা ত সরকারের পা চাটা গুলাম তাই এরা অপরাদ করলে সরকার তার তদন্তের দায়িত্ব নিবে। এরা সরকারের কু করমের ফসল। সাবাস বাংলাদেশ বাংগা দেশ ছি ছি ছি থু থু থু সরকারের পা চাটা গুলাম।
এই দাড়িওয়ালা বোকচোদটা চশমা পড়ে আছে কেন,1,entertainment,Bengali hate speech ,এই দাড়িওয়ালা বোকচোদটা চশমা পড়ে আছে কেন
আপনাকে অসংখ্য ধন্যবাদ যে সাবনাম ফারিয়া আর ওই হনুমান কে নিয়ে এত সুন্দর একটা ভিডিও বানানোর জন্য যে মানুষকে সম্মান করতে জানেনা তাকে আল্লাহতালা পছন্দ করেন না মনডা চাইতেছে ভাই শুয়োরের বাচ্চার সামনে পাইলে কি যে করতাম আল্লাহ ভালো জানে,0,entertainment,Bengali hate speech ,আপনাকে অসংখ্য ধন্যবাদ যে সাবনাম ফারিয়া আর ওই হনুমান কে নিয়ে এত সুন্দর একটা ভিডিও বানানোর জন্য যে মানুষকে সম্মান করতে জানেনা তাকে আল্লাহতালা পছন্দ করেন না মনডা চাইতেছে ভাই শুয়োরের বাচ্চার সামনে পাইলে কি যে করতাম আল্লাহ ভালো জানে
ওকে জুতা পেটা করা উচিত৷ শুধু তাই নয়,0,"Meme, TikTok and others",Bengali hate speech ,ওকে জুতা পেটা করা উচিত৷ শুধু তাই নয়
হুমম দুধ,0,"Meme, TikTok and others",Bengali hate speech ,হুমম দুধ
জাকির নায়েক বর্তমান যুগের এক জন আদর্শ মানুষতিনি সঠিক পথ প্রদর্শকউনাকে আমাদের অনুসরণ করা উচিত হে আল্লাহ্ আপনি উনাকে রক্ষা করুন,0,"Meme, TikTok and others",Bengali hate speech ,জাকির নায়েক বর্তমান যুগের এক জন আদর্শ মানুষতিনি সঠিক পথ প্রদর্শকউনাকে আমাদের অনুসরণ করা উচিত হে আল্লাহ্ আপনি উনাকে রক্ষা করুন
একটা জিনিস স্পষ্ট এই বিলের ফলে প্রতিবেশী দেশর সংখ্যালঘুদের চরম বিপদের পরতে হতে পারে,0,"Meme, TikTok and others",Bengali hate speech ,একটা জিনিস স্পষ্ট এই বিলের ফলে প্রতিবেশী দেশর সংখ্যালঘুদের চরম বিপদের পরতে হতে পারে
এটা আস্থা মিডিয়ার মাগী । ওনি এখন ইসলামের বোরকার নিছে হান্দাইছে । বেহেশতের পুরুষ হুুঁরের অপেক্ষায়। ওনার এখন নাম আমাতুল্লাহ । ওনি বলেছিলেন কখনো বিয়ে করবেন না। শালী এখন হুজুরেরে বিয়ে করেছেন।,1,sports,Bengali hate speech ,এটা আস্থা মিডিয়ার মাগী । ওনি এখন ইসলামের বোরকার নিছে হান্দাইছে । বেহেশতের পুরুষ হুুঁরের অপেক্ষায়। ওনার এখন নাম আমাতুল্লাহ । ওনি বলেছিলেন কখনো বিয়ে করবেন না। শালী এখন হুজুরেরে বিয়ে করেছেন।
কৈ হৈল কাওয়া কাদের আর কোথায় বারের প্রধানমন্ত্রী দেশনেত্রী বেগম খালেদা জিয়া,1,politics,Bengali hate speech ,কৈ হৈল কাওয়া কাদের আর কোথায় বারের প্রধানমন্ত্রী দেশনেত্রী বেগম খালেদা জিয়া
হালার চুল দাড়ির যা হাল না জানি অন্য জায়গার কি অবস্থা,1,entertainment,Bengali hate speech ,হালার চুল দাড়ির যা হাল না জানি অন্য জায়গার কি অবস্থা
তামিম ইকবাল কি অাপনার উনার মেয়েকে বিয়ে করছিলো?,1,sports,Bengali hate speech ,তামিম ইকবাল কি অাপনার উনার মেয়েকে বিয়ে করছিলো?
এই সমস্ত মিথ্যাবাদি ইউটিউবারদের জন্য আরমনে চাইনা একটু ইউটিউবে আসি সালা চুদমারানির দলসব,1,sports,Bengali hate speech ,এই সমস্ত মিথ্যাবাদি ইউটিউবারদের জন্য আরমনে চাইনা একটু ইউটিউবে আসি সালা চুদমারানির দলসব
কুকুরের বাচ্চাদের দের কে জুতা করে পিটান আর আপনারা যদি না পারেন তাহলে ভারতে পাঠিয়ে দিন কলকাতায় তার পরে দেখে নিবো,1,religion,Bengali hate speech ,কুকুরের বাচ্চাদের দের কে জুতা করে পিটান আর আপনারা যদি না পারেন তাহলে ভারতে পাঠিয়ে দিন কলকাতায় তার পরে দেখে নিবো
আরে কুত্তা লিগের বাচ্চারা আগে কথা কি করে বলতে হই সেটা শিখ আর পর আসিস কথা বলতে তরা যে চোর সেটা তদের তুতলামি কথা তেই তরা বোঝিয়ে দিতেছত আমরা কি বলবো বল মনে রাখিস চোর কখনো পুলিশের সামনে তুতলামি ছারা কথা বলতে পারে না কারন মোখ দিয়ে সত্য কথা বের হইনা জোর করে বের করতে হই,1,politics,Bengali hate speech ,আরে কুত্তা লিগের বাচ্চারা আগে কথা কি করে বলতে হই সেটা শিখ আর পর আসিস কথা বলতে তরা যে চোর সেটা তদের তুতলামি কথা তেই তরা বোঝিয়ে দিতেছত আমরা কি বলবো বল মনে রাখিস চোর কখনো পুলিশের সামনে তুতলামি ছারা কথা বলতে পারে না কারন মোখ দিয়ে সত্য কথা বের হইনা জোর করে বের করতে হই
এ সব আহামরি কিছু না। ইউনিয়ন পরিষদের চেয়ারম্যান ও গাড়ি চালায়,0,politics,Bengali hate speech ,এ সব আহামরি কিছু না। ইউনিয়ন পরিষদের চেয়ারম্যান ও গাড়ি চালায়
গর্দভ উপস্থাপক এবং গর্দভ নাস্তিক,0,religion,Bengali hate speech ,গর্দভ উপস্থাপক এবং গর্দভ নাস্তিক
বিষ দাত মুভিটা চাই।,0,entertainment,Bengali hate speech ,বিষ দাত মুভিটা চাই।
সাধারণ সম্পাদক পরিবর্তন করলে দেশের জন্য বর্তমানের থেকেও বেশী ভয় রয়েছে,0,politics,Bengali hate speech ,সাধারণ সম্পাদক পরিবর্তন করলে দেশের জন্য বর্তমানের থেকেও বেশী ভয় রয়েছে
শুভ কামনা স্যার।,0,celebrity,Bengali hate speech ,শুভ কামনা স্যার।
দুরূ হালার ঘরের হালা বাইনচোদ,1,celebrity,Bengali hate speech ,দুরূ হালার ঘরের হালা বাইনচোদ
খুব অন্যায় করছেন মহাপাপি ওর শাস্তি দরকার,0,"Meme, TikTok and others",Bengali hate speech ,খুব অন্যায় করছেন মহাপাপি ওর শাস্তি দরকার
এটা তো একটা ছাগলের বাচ্চা,1,religion,Bengali hate speech ,এটা তো একটা ছাগলের বাচ্চা
"তুই রাজাকার,শুয়োরের বাচ্চা",1,celebrity,Bengali hate speech ,"তুই রাজাকার,শুয়োরের বাচ্চা"
কমেন্ট কোরতে লজ্জা লাগে আমার খানকির বাচ্চা রা একটা তাজা প্রাণ কেড়ে নিয়েছে,1,crime,Bengali hate speech ,কমেন্ট কোরতে লজ্জা লাগে আমার খানকির বাচ্চা রা একটা তাজা প্রাণ কেড়ে নিয়েছে
ত্রই সয়তানের বাচ্চা তুই কাফের কুত্তার বাচ্চা তুই তাবলিগ নিয়া কথা বলছোস,1,religion,Bengali hate speech ,ত্রই সয়তানের বাচ্চা তুই কাফের কুত্তার বাচ্চা তুই তাবলিগ নিয়া কথা বলছোস
আরে বুকা চুদা ভাইরে নিয়ে গেলেনা কেনো,1,crime,Bengali hate speech ,আরে বুকা চুদা ভাইরে নিয়ে গেলেনা কেনো
কাুউয়া কাদিরের মত লোকদেরকে ট্যাপিকের কাজ করাতে হবে ভবিষ্যতে এই কারনে পসিখন দিচেছ,1,politics,Bengali hate speech ,কাুউয়া কাদিরের মত লোকদেরকে ট্যাপিকের কাজ করাতে হবে ভবিষ্যতে এই কারনে পসিখন দিচেছ
শালায় মাল খায়া টাল হয়া গেছে,1,religion,Bengali hate speech ,শালায় মাল খায়া টাল হয়া গেছে
পাপনের মারে চুদি।,1,sports,Bengali hate speech ,পাপনের মারে চুদি।
বাংলাদেশের এখন এটাই অবস্থা। খমতার জোড়ে এদের কিছু হবেনা।,0,crime,Bengali hate speech ,বাংলাদেশের এখন এটাই অবস্থা। খমতার জোড়ে এদের কিছু হবেনা।
এরা সব জারজ,1,"Meme, TikTok and others",Bengali hate speech ,এরা সব জারজ
পাপন একটা খানকির পুলাওরে লেঙটা করে রাস্তায় ছেড়ে দিন!ওরে মাইরা ফেলবে জনতা!বাইঞ্চুদ হইলো একটা মাদারচুদ🤬🤬,1,sports,Bengali hate speech ,পাপন একটা খানকির পুলাওরে লেঙটা করে রাস্তায় ছেড়ে দিন!ওরে মাইরা ফেলবে জনতা!বাইঞ্চুদ হইলো একটা মাদারচুদ
ছবিটা দেখে মনের অজান্তেই চোখ দিয়ে পানি ঝরে পরলো😢আসাধরন ছবি।,0,entertainment,Bengali hate speech ,ছবিটা দেখে মনের অজান্তেই চোখ দিয়ে পানি ঝরে পরলোআসাধরন ছবি।
দারুণ নাচ।,0,sports,Bengali hate speech ,দারুণ নাচ।
সাবাস বাঘের বাচ্চারা,0,religion,Bengali hate speech ,সাবাস বাঘের বাচ্চারা
ওই সালাত পুত ফকির নাকি চুল কাটার টাকা নাই শার্ট টা তো ফুট ফাত থেকে কিনছে,1,entertainment,Bengali hate speech ,ওই সালাত পুত ফকির নাকি চুল কাটার টাকা নাই শার্ট টা তো ফুট ফাত থেকে কিনছে
চুদির ভাই গ কি জিনে কুতকুতানাকি।,1,politics,Bengali hate speech ,চুদির ভাই গ কি জিনে কুতকুতানাকি।
সাকা রে ফাঁকা বানাই ফেলছে কুকুরের কথা শুনলেই গাঁ জল্র,1,"Meme, TikTok and others",Bengali hate speech ,সাকা রে ফাঁকা বানাই ফেলছে কুকুরের কথা শুনলেই গাঁ জল্র
ছাত্রলীগেএর সন্ত্রাশীদেরকে প্রতীহত করতেহবে।,0,politics,Bengali hate speech ,ছাত্রলীগেএর সন্ত্রাশীদেরকে প্রতীহত করতেহবে।
কাদের সাহেব কোটি টাকার ঘড়ি আর আমার টাকার ঘড়ি একই সময় প্রদশন করে। আমার প্রশ্ন হচ্ছে দুদক কি কলা গাছ নিয়ে ব্যস্ত??? কারন কলা গাছ ছাড়া তাদের চোখে কিছুই ধরা পড়ে না।,0,politics,Bengali hate speech ,কাদের সাহেব কোটি টাকার ঘড়ি আর আমার টাকার ঘড়ি একই সময় প্রদশন করে। আমার প্রশ্ন হচ্ছে দুদক কি কলা গাছ নিয়ে ব্যস্ত??? কারন কলা গাছ ছাড়া তাদের চোখে কিছুই ধরা পড়ে না।
শালীরে জুতা মার,1,"Meme, TikTok and others",Bengali hate speech ,শালীরে জুতা মার
ভাই এইসব তাদের কোনো শালাদের কানে যাবে না।,0,politics,Bengali hate speech ,ভাই এইসব তাদের কোনো শালাদের কানে যাবে না।
মিথিলা হচ্ছে একটা বেসসা খানকি মেয়ে,1,"Meme, TikTok and others",Bengali hate speech ,মিথিলা হচ্ছে একটা বেসসা খানকি মেয়ে
ছি এমন ছেলেকে জন্মাবার সময় মরে যাওয়া উচিৎ ছিল,0,"Meme, TikTok and others",Bengali hate speech ,ছি এমন ছেলেকে জন্মাবার সময় মরে যাওয়া উচিৎ ছিল
এক জান্নাতের কপালে আর কতো দুখ আছে,0,entertainment,Bengali hate speech ,এক জান্নাতের কপালে আর কতো দুখ আছে
এসব আচোদা হুজুরেরা আমাদের ধর্ম ইসলাম কে হাইজ্যাক করছে,1,sports,Bengali hate speech ,এসব আচোদা হুজুরেরা আমাদের ধর্ম ইসলাম কে হাইজ্যাক করছে
পান থেকে চুন খসলেই বিএনপি কে দোষারপ করেন ওবায়দুল কাদের সাহেব অথচ নিজের হাতে শোভা পাচ্ছে লাখ টাকার ঘড়ি হাতে যদি লাখ টাকার ঘড়ি থাকে তাহলে অন্যান্য ব্যবহার্য সামগ্রীর দাম কত হতে পারে?? টয়লেটে কি তিনি ট্যিস্যু ব্যবহার করেন না হাজার টাকার নোট ব্যবহার করেন?? ইনকাম ট্যাক্সের ফাইলে কি এর উল্লেখ পাওয়া যাবে?? লজ্জা হওয়া উচিত আমাদের যে আমরা এমন রাজনীতিবিদের নেতা মনে করি। শুদ্ধি অভিযান শুধু চুনোপুটিদের ওপরে চালিত হয় এসব নেতাদেরও শুদ্ধি অভিযানের অাওতায় আনা উচিত।,0,politics,Bengali hate speech ,পান থেকে চুন খসলেই বিএনপি কে দোষারপ করেন ওবায়দুল কাদের সাহেব অথচ নিজের হাতে শোভা পাচ্ছে লাখ টাকার ঘড়ি হাতে যদি লাখ টাকার ঘড়ি থাকে তাহলে অন্যান্য ব্যবহার্য সামগ্রীর দাম কত হতে পারে?? টয়লেটে কি তিনি ট্যিস্যু ব্যবহার করেন না হাজার টাকার নোট ব্যবহার করেন?? ইনকাম ট্যাক্সের ফাইলে কি এর উল্লেখ পাওয়া যাবে?? লজ্জা হওয়া উচিত আমাদের যে আমরা এমন রাজনীতিবিদের নেতা মনে করি। শুদ্ধি অভিযান শুধু চুনোপুটিদের ওপরে চালিত হয় এসব নেতাদেরও শুদ্ধি অভিযানের অাওতায় আনা উচিত।
"আমি অন্তত খুশি । সাব্বির তো অনেক চাপের মধ্যে ছিল, এইজন্য এই রকম উদযাপন করছে সেঞ্চুরি করে । সমালোচনা না করে ওকে আরো সাহস দেয়া দরকার যাতে সামনে বিশ্বকাপেও ভাল করতে পারে ।",1,sports,Bengali hate speech ,"আমি অন্তত খুশি । সাব্বির তো অনেক চাপের মধ্যে ছিল, এইজন্য এই রকম উদযাপন করছে সেঞ্চুরি করে । সমালোচনা না করে ওকে আরো সাহস দেয়া দরকার যাতে সামনে বিশ্বকাপেও ভাল করতে পারে ।"
সালা তোর তদন্ত তুই করছ,1,crime,Bengali hate speech ,সালা তোর তদন্ত তুই করছ
এসব দেওয়ান বাগী খানকির পোলারে জুতা মারা উচিৎ।,1,religion,Bengali hate speech ,এসব দেওয়ান বাগী খানকির পোলারে জুতা মারা উচিৎ।
আরে যেরা আইনের কাজ করে তারাইতো বেইন করে।,0,crime,Bengali hate speech ,আরে যেরা আইনের কাজ করে তারাইতো বেইন করে।
আচ্ছা ভাই এইটা কোন জায়গায় শুটিং করা হইছে কেউ কি জানেন?<br />খুব যেতে ইচ্ছে করতাছে সেই জায়গায়।,0,entertainment,Bengali hate speech ,আচ্ছা ভাই এইটা কোন জায়গায় শুটিং করা হইছে কেউ কি জানেন?<br />খুব যেতে ইচ্ছে করতাছে সেই জায়গায়।
মম কে একটা পতিতার মতো লাগে। অভিনয়ের চেয়ে চোদার জগতে গেলে বেশি নাম কামাবে মাগি। সব কয়টা আবাল বিচারক!!!,1,entertainment,Bengali hate speech ,মম কে একটা পতিতার মতো লাগে। অভিনয়ের চেয়ে চোদার জগতে গেলে বেশি নাম কামাবে মাগি। সব কয়টা আবাল বিচারক!!!
সালা বুড়া পাডা।,1,crime,Bengali hate speech ,সালা বুড়া পাডা।
চল এ পূর্নিমা রাতে পালিয়ে যাই !,0,politics,Bengali hate speech ,চল এ পূর্নিমা রাতে পালিয়ে যাই !
"ভাই আমার, পড়ালেখার চাপ থেকে মুক্তির জন্য তোর একটু বিনোদন দরকার। এখানের কমেন্ট সেকশনে ফ্রিতে বিনোদন বন্টন চলছে। ভাবলাম তোর উপকারে আসবে 😌  Abidur Rahman",0,celebrity,Bengali hate speech ,"ভাই আমার, পড়ালেখার চাপ থেকে মুক্তির জন্য তোর একটু বিনোদন দরকার। এখানের কমেন্ট সেকশনে ফ্রিতে বিনোদন বন্টন চলছে। ভাবলাম তোর উপকারে আসবে   Abidur Rahman"
ওরে দুধ গুলো যদি চুষতে পারতাম,0,"Meme, TikTok and others",Bengali hate speech ,ওরে দুধ গুলো যদি চুষতে পারতাম
সানাই তুই সেক্সি মাল,0,entertainment,Bengali hate speech ,সানাই তুই সেক্সি মাল
ইসলামের মাকে এবং চুদি পাকিস্তানের মাকে চুদি এবং চ্যানেল মাকে চুদি,0,"Meme, TikTok and others",Bengali hate speech ,ইসলামের মাকে এবং চুদি পাকিস্তানের মাকে চুদি এবং চ্যানেল মাকে চুদি
ভন্ড কে দেখেন না দেখলেই তো বুঝা যায়,0,religion,Bengali hate speech ,ভন্ড কে দেখেন না দেখলেই তো বুঝা যায়
এই ভিডিওতে বুঝা যায় মুন্নি এই খুনিদের সাথে জড়িত আছে,0,crime,Bengali hate speech ,এই ভিডিওতে বুঝা যায় মুন্নি এই খুনিদের সাথে জড়িত আছে
সঠিক সিদ্ধান্তের জন্য অনেক ধন্যবাদ। যা হোক নাটক খুব ভালো লাগলো। ধন্যবাদ।,0,entertainment,Bengali hate speech ,সঠিক সিদ্ধান্তের জন্য অনেক ধন্যবাদ। যা হোক নাটক খুব ভালো লাগলো। ধন্যবাদ।
মাশা আল্লাহ।,0,religion,Bengali hate speech ,মাশা আল্লাহ।
পতিতার প্রেম || Potita || bangla upcoming movie 2018 ||,0,entertainment,Bengali hate speech ,পতিতার প্রেম || Potita || bangla upcoming movie 2018 ||
