text,task_1,task_2,Processed_Post,Labels Set
Heart wrenching images.😢😢  #ममता_खूनी_है #BengalBurning https://t.co/xcL709mRrj,0,NONE,ममताखूनीहै,0
"RT @NamoYouthIndia: आम आदमी पार्टी ने 6 करोड़ रुपए लेकर मेरे पिता को लोकसभा का टिकट दिया' - उदय जाखड़
@AamAadmiParty
@ArvindKejriwal
@Lamba…",0,NONE,आम आदमी पार्टी ने करोड़ रुपए लेकर मेरे पिता को लोकसभा का टिकट दिया उदय जाखड़,0
"@imjaiswalritik इस भाई को क्या तकलीफ है बवासीर हो गई है क्या या #Islamophobia , का कीडा गांड़ मे काट रहा है",1,OFFN,इस भाई को क्या तकलीफ है बवासीर हो गई है क्या या का कीडा गांड़ मे काट रहा है,1
जब मिया बीवी राज़ी तो क्या करेगा बेचारा बंगाली? 👀#ShameOnMamata #spinelessmodi #SpinelessBJP #BengalElection2021 #BengalBurning #BJP #PresidentsRuleinBengal #MamtaisTerrorist #TMCTerror #ModiMadeDisaster #Bengalisburning #BengalViolence #KolkataPolice #SupremeCourtofIndia https://t.co/ZebhdNlRSK,0,NONE,जब मिया बीवी राज़ी तो क्या करेगा बेचारा बंगाली,0
"रोहित सरदाना की डेड बॉडी उनके शहर को दी जा सकती है मगर बिहार के पूर्व सांसद #मोहम्मद_शहाबुद्दीन_जी की डेड बॉडी उनके परिवार को नहीं,,  #BoycottRJD #GaddarRJD #JusticeForShahabuddin",0,NONE,रोहित सरदाना की डेड बॉडी उनके शहर को दी जा सकती है मगर बिहार के पूर्व सांसद मोहम्मदशहाबुद्दीनजी की डेड बॉडी उनके परिवार को नहीं,0
@Profdilipmandal @rsprasad Whoever was handling Kangana's account has exposed Modi's real face. Who is controlling India?  #KanganaRanaut #ResignPMmodi #कृषि_कानून_रद्द_करने_पड़ेंगे,0,NONE,कृषिकानूनरद्दकरनेपड़ेंगे,0
"RT @eralam1992: @MLArajeshSP मोदी - पाकिस्तान पर हमला करने जा रहे हैं,
सिपाही - सर ये तो खराब है
मोदी - अरे इसीलिए तो काला पेंट कराया है कि…",0,NONE,मोदी पाकिस्तान पर हमला करने जा रहे हैं सिपाही सर ये तो खराब है मोदी अरे इसीलिए तो काला पेंट कराया है कि,0
"RT @SumanSh58123278: पैट्रोल इतना महंगा था कि,,,🤔 स्कूटी बेचकर, कुत्ता गाड़ी ले ली ..
.
ओर कुत्तो की जगह दस इतालवी लूटेरी और उसकी औलादो के…",1,HATE,पैट्रोल इतना महंगा था कि स्कूटी बेचकर कुत्ता गाड़ी ले ली ओर कुत्तो की जगह दस इतालवी लूटेरी और उसकी औलादो के,1
"RT @sachchirai: मां तो मां होती हैं। मां,मातृत्व,ममता के बिना सृष्टि के अस्तित्व की कल्पना भी असंभव है। ऐसे में कोई दिन नहीं, हर क्षण,हर पल…",0,NONE,मां तो मां होती हैं मांमातृत्वममता के बिना सृष्टि के अस्तित्व की कल्पना भी असंभव है ऐसे में कोई दिन नहीं हर क्षणहर पल,0
मरहूम शहाबुद्दीन साहब को दिल्ली गेट कब्रिस्तान में सुपर्द ए खाक किया गया..😥 अल्लाह मरहूम की मगफिरत फरमाये और जन्नत मे आला मुकाम आता फरमाये! आमीन #GaddarRJD #JusticeForShahabuddin https://t.co/W1J8Arexhd,0,NONE,मरहूम शहाबुद्दीन साहब को दिल्ली गेट कब्रिस्तान में सुपर्द ए खाक किया गया अल्लाह मरहूम की मगफिरत फरमाये और जन्नत मे आला मुकाम आता फरमाये आमीन,0
"RT @sunerdhakad: ,,जीवन मे बहुत कुछ देखा है ,बस 
अब यही ,देखना बाकि था ।😀😁😂😉😋
👇👇👇👇👇👇👇😝😂😛 https://t.co/mOy87SOfsL",0,NONE,जीवन मे बहुत कुछ देखा है बस अब यही देखना बाकि था,0
"RT @ImSid__: सबसे बड़ा बेवकूफ तो जाखड़ निकला..

अपनी जमानत जब्त करवाने के लिए 
6 करोड़ सड़ जी को दे आया.. 🙈😂
#KejriwalCash4Ticket",1,OFFN,सबसे बड़ा बेवकूफ तो जाखड़ निकला अपनी जमानत जब्त करवाने के लिए करोड़ सड़ जी को दे आया,1
"4. फ़िरोज़ खान मोतीलाल नेहरु के घर पर महंगी विदेशी शराब की आपूर्ति किया करता था! फ़िरोज़ और इंदिरा के बीच प्रेम सम्बन्ध स्थापित हो गए!  महाराष्ट्र के तत्कालीन राज्यपाल डा० श्री प्रकाश ने नेहरू को चेतावनी दी, कि फिरोज खान इंदिरा के साथ अवैध संबंध बना रहा था! फिरोज खान इंग्लैंड",0,NONE,फ़िरोज़ खान मोतीलाल नेहरु के घर पर महंगी विदेशी शराब की आपूर्ति किया करता था फ़िरोज़ और इंदिरा के बीच प्रेम सम्बन्ध स्थापित हो गए महाराष्ट्र के तत्कालीन राज्यपाल डा० श्री प्रकाश ने नेहरू को चेतावनी दी कि फिरोज खान इंदिरा के साथ अवैध संबंध बना रहा था फिरोज खान इंग्लैंड,0
@the_hindu ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,1,OFFN,मनहुसमोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है मानवता केलिऐ देशभक्त हो तो,1
RT @navjivanindia: #PMModi के खिलाफ चुनाव लड़ने वाले किसान सुनापू इश्तारी ने कहा कि हमें पुलिस और इंटेलिजेंस ब्यूरो के अधिकारियों ने हर जगह…,0,NONE,के खिलाफ चुनाव लड़ने वाले किसान सुनापू इश्तारी ने कहा कि हमें पुलिस और इंटेलिजेंस ब्यूरो के अधिकारियों ने हर जगह,0
@SR65565321 ऐसा सवाल करने वाले को देशद्रोही माना जायेगा😂😂😂,1,HATE,ऐसा सवाल करने वाले को देशद्रोही माना जायेगा,1
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/iiB0j65Mlc,0,NONE,पुरानीपेंशनबहालकरो भारतछोड़ो निजीकरणभारतछोड़ो कर्मचारीकाअधिकार निजीकरणकेख़िलाफ़इंक़लाब स्वास्थ्यक्षेत्रमेबजटबढ़ाओ औरदो,0
पत्रकारों की पुरजोर मांग है कि जो कमीने हरामखोर नेता पत्रकारों की खरीद-फरोख्त करते हैं वो एक IPL सरीखी व्यवस्था के तहत करें। https://t.co/yh5wa6OySr,1,PRFN,पत्रकारों की पुरजोर मांग है कि जो कमीने हरामखोर नेता पत्रकारों की खरीदफरोख्त करते हैं वो एक सरीखी व्यवस्था के तहत करें,1
@harbhajan_singh देश को बचाना होगा @narendramodi को जाना होगा #Resign_PM_Modi  #धर्म_के_खाल_में_दानव #ResignPMmodi  #कम्यूनल_कोरोना_के_मरीज #RESIGN  #कालणेमी,1,OFFN,देश को बचाना होगा को जाना होगा धर्मकेखालमेंदानव कम्यूनलकोरोनाकेमरीज कालणेमी,1
बचपन से देखते आया हू की   चाय में बिस्किट डूब जाता है पर आज तो चाय ने पूरा देश डूबो दिया...☕ #ModiKaVaccineJumla,0,NONE,बचपन से देखते आया हू की चाय में बिस्किट डूब जाता है पर आज तो चाय ने पूरा देश डूबो दिया,0
"@ashutosh83B पहले वाली गलतियों के बारे में, ज्ञान की कमी, या गलती से कुछ गलत कह जाना, कहा जा सकता है। पर इस बार की बात को,ज्ञान की कमी के बावजूद मनगढ़ंत कहानियां गढ़ना, ही कहा जा सकता है।",0,NONE,पहले वाली गलतियों के बारे में ज्ञान की कमी या गलती से कुछ गलत कह जाना कहा जा सकता है पर इस बार की बात कोज्ञान की कमी के बावजूद मनगढ़ंत कहानियां गढ़ना ही कहा जा सकता है,0
Rohit Sardana  Rest In Peace 🙏  देश और देश के नागरिकों को इस से लड़ना है हम हार नहीं मानेंगे हम इस से लड़ेंगे और जीतेंगे भी 🇮🇳 जय हिंद   Go corona go   #Chinesevirus 🤬 #WuhanVirus 🤬  🇮🇳💪  #Unite2FightCorona  #IndiaFightsBack,0,NONE,देश और देश के नागरिकों को इस से लड़ना है हम हार नहीं मानेंगे हम इस से लड़ेंगे और जीतेंगे भी जय हिंद,0
"वो चैन से सो रहे हैं शहर बेचकर,कोई सुहाग बचा रहा जेवर बेचकर,बाप ने उमर गुजार दी घरोंदे बनाने में,बेटा उसकी सांसे खरीद रहा है घर बेचकर,बर्बाद हो गये कई घर दवा खरीदने  में,कुछ लोगों की तिज़ोरी भर गई जहर बेचकर !!  #ResignModi #ModiMadeDisaster",0,NONE,वो चैन से सो रहे हैं शहर बेचकरकोई सुहाग बचा रहा जेवर बेचकरबाप ने उमर गुजार दी घरोंदे बनाने मेंबेटा उसकी सांसे खरीद रहा है घर बेचकरबर्बाद हो गये कई घर दवा खरीदने मेंकुछ लोगों की तिज़ोरी भर गई जहर बेचकर,0
The ਸ਼ਨਿਚਰੀ Boy  $h!t @PMOIndia @narendramodi @AmitShah  #दीदी_ओ_दीदी  #नरेंद्र_मोदी_ग्लोबल_पप्पू #दीदी_ओ_दीदी  #Vaccine_और_MSP_दो #vaccine_ओर_MSP_दो #FarmersProtest #ResignModi #Resign_PM_Modi #ResignModi #FarmersProtest #BanEVM_SaveDemocracy #कृषि_कानून_रद्द_करने_पड़ेंगे https://t.co/ZpmlNW6tI3,0,NONE,दीदीओदीदी नरेंद्रमोदीग्लोबलपप्पू दीदीओदीदी औरदो ओरदो कृषिकानूनरद्दकरनेपड़ेंगे,0
"#JusticeForIndia देश के 135 करोड़ लोग टीका, ऑक्सीजन, चिकित्सा, चाहते हैं। या तो इनकी व्यवस्था करें। यदि नहीं, तो गद्दा छोड़ दें। झूठ बोलना बंद करो। #SpinelessBJP #COVID19 #BengalBurning #MamataBanarjee  #Bengalisburning #देश_ऑक्सीजन_मांगता_है  #ResignModi #COVID19India #India",0,NONE,देश के करोड़ लोग टीका ऑक्सीजन चिकित्सा चाहते हैं या तो इनकी व्यवस्था करें यदि नहीं तो गद्दा छोड़ दें झूठ बोलना बंद करो देशऑक्सीजनमांगताहै,0
"#पड़ोसियों_पर_सितम_ढाया_जा_रहा_है #कुछ_इस_तरह_अच्छे_दिन_लाया_जा_रहा_है   गोरखपुर के गली मोहल्लों में अवैध असलहों की भरमार है। वहां, 4132 अवैध असलहे मिले हैं, पर कोई कार्रवाई नहीं हुई है। जो मुख्यमंत्री अपना जिला नहीं संभाल सकते हैं, वह प्रदेश क्या संभालेंगे। https://t.co/JKb9H8bf5s",1,OFFN,पड़ोसियोंपरसितमढायाजारहाहै कुछइसतरहअच्छेदिनलायाजारहाहै गोरखपुर के गली मोहल्लों में अवैध असलहों की भरमार है वहां अवैध असलहे मिले हैं पर कोई कार्रवाई नहीं हुई है जो मुख्यमंत्री अपना जिला नहीं संभाल सकते हैं वह प्रदेश क्या संभालेंगे,1
"RT @KailashBhagwa: @Dil_se_re_ डर को दिल से निकाल मेरे भाई ...
आज नही तो कब बोलेगा...
अगर दोस्ती नहीं टुटेगा।।
बिंदास बोल..
👍👍👍",0,NONE,डर को दिल से निकाल मेरे भाई आज नही तो कब बोलेगा अगर दोस्ती नहीं टुटेगा बिंदास बोल,0
RT @Karnalakaruna: @ArvindKejriwal दिल्ली वालों अपना कीमती वोट सोच समझ कर डालें https://t.co/2wRIt0ytRs,0,NONE,दिल्ली वालों अपना कीमती वोट सोच समझ कर डालें,0
#कंगना_तुम_कहाँ_हो वापस मत आना  #ResignModi जल्दी कर,0,NONE,कंगनातुमकहाँहो वापस मत आना जल्दी कर,0
#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #COVID19India https://t.co/WlSwPHkgWC,0,NONE,पुरानीपेंशनबहालकरो भारतछोड़ो निजीकरणभारतछोड़ो कर्मचारीकाअधिकार निजीकरणकेख़िलाफ़इंक़लाब स्वास्थ्यक्षेत्रमेबजटबढ़ाओ,0
@yadavtejashwi @NitishKumar अब @girirajsinghbjp  जी इन्हें कब पाकिस्तान भेज रहे हैं,1,OFFN,अब जी इन्हें कब पाकिस्तान भेज रहे हैं,1
RT @SudarshanNewsTV: हिन्दू प्रेमिका व मुस्लिम प्रेमी एक साथ लेते रेल की पटरी पर.. ट्रेन पास आई तो निकल कर भाग गया प्रेमी और टुकड़ों में कट…,0,NONE,हिन्दू प्रेमिका व मुस्लिम प्रेमी एक साथ लेते रेल की पटरी पर ट्रेन पास आई तो निकल कर भाग गया प्रेमी और टुकड़ों में कट,0
"@WarisAliMewati @PragyaLive हद से ज्यादा ढीठ,बेशर्म और फूहड़ ""चिंटुत्व"" के फेवरेट होते हैं,ऊलजलूल बोलो, झूठे आरोप लगा दो,दूसरों को टोक के देश विरोधी, हिंदु विरोधी प्रचारित करो,झूठ  पकड़े जाने पर चिल्लम चिल्ली करो और धार्मिक छौंक दो,बस ये है सकारात्मकता  चिंटुत्व की।",1,HATE,हद से ज्यादा ढीठबेशर्म और फूहड़ चिंटुत्व के फेवरेट होते हैंऊलजलूल बोलो झूठे आरोप लगा दोदूसरों को टोक के देश विरोधी हिंदु विरोधी प्रचारित करोझूठ पकड़े जाने पर चिल्लम चिल्ली करो और धार्मिक छौंक दोबस ये है सकारात्मकता चिंटुत्व की,1
सच है काफ़िर से वफ़ा की उम्मीद नही रखनी चाहिए आज @yadavtejashwi ने बता दिया  #JusticeForShahabuddin,1,HATE,सच है काफ़िर से वफ़ा की उम्मीद नही रखनी चाहिए आज ने बता दिया,1
"RT @DaasJai: #WednesdayWisdom
श्री कृष्ण के मरने के बाद में गोपियों को भीलों ने लूटा और अर्जुन को भी पीटा फिर भी लोग कृष्ण को ही भगवान मान…",1,HATE,श्री कृष्ण के मरने के बाद में गोपियों को भीलों ने लूटा और अर्जुन को भी पीटा फिर भी लोग कृष्ण को ही भगवान मान,1
बेइज्जती होगी रे भूण्डी बेइज्जती 🤣😂😁😛🤭☺️ #ResignPMmodi  #BjpDestroyedIndia  #ModiSarkarHiSystemHai,1,PRFN,बेइज्जती होगी रे भूण्डी बेइज्जती,1
"कहां भाग गया लालू का लाल।
बहुत गुंडागर्दी फैलाई है लालू ने और आज उसका असर समाज को झेलना पड़ रहा है।",1,HATE,कहां भाग गया लालू का लाल बहुत गुंडागर्दी फैलाई है लालू ने और आज उसका असर समाज को झेलना पड़ रहा है,1
अभी भी किसी को पूछना है?   मोदी नहीं तो कौन! #ResignModi  @RJDforIndia  @MamataOfficial  @AITCofficial @INCIndia  @yadavtejashwi  @RahulGandhi  @SachinPilot  @jigneshmevani80  @laluprasadrjd  @HemantSorenJMM  @ArvindKejriwal,0,NONE,अभी भी किसी को पूछना है मोदी नहीं तो कौन,0
"@ZeeNews @AmanChopra_ अगर धरना देने से सब सही हो जाता तो..  कुरुक्षेत्र में भी ""श्री कृष्ण"" जी ""अर्जुन"" को यही सलाह देते..। 😡😡😡  #BengalBurning  #BengalViolence  #KhooniKhela  #WestBengalViolence",0,NONE,अगर धरना देने से सब सही हो जाता तो कुरुक्षेत्र में भी श्री कृष्ण जी अर्जुन को यही सलाह देते,0
"RT @AlishaSays_: कितने लोग 23  मई को भाजपा के जाने का इन्तज़ार कर रहे है ?

RT &amp; COMMENT...",0,NONE,कितने लोग मई को भाजपा के जाने का इन्तज़ार कर रहे है,0
@Sunnydeolsir गौर से देखिये ऐसा लग रहा है कि मेरा वोट फूल (कमल) पर गया है।जयहिन्द,0,NONE,गौर से देखिये ऐसा लग रहा है कि मेरा वोट फूल कमल पर गया हैजयहिन्द,0
"@MamataOfficial @yadavtejashwi हम हिंदुओं को धरना नही, बदला चाहिए।  #BengalViolence #BengalBurning   https://t.co/74t3fjPDWb",0,NONE,हम हिंदुओं को धरना नही बदला चाहिए,0
Rohit sharma ko credit de rahe hai 😂😂😂😂 usne kya kiya hai pure season me 😈,0,NONE,,0
"RT @iamsolanki_: हर कोई उंगली पे स्याही लगा कर
 राहुल गांधी औऱ उनके चमचो को उंगली कर रहा है 😂🤣😂😂

#DeshKeDilMeiModi
#VotingRound6",1,HATE,हर कोई उंगली पे स्याही लगा कर राहुल गांधी औऱ उनके चमचो को उंगली कर रहा है,1
साथियों अभी कुछ कमी नजर आ रही है भर दो हुंकार अपने हक के लिए ताल ठोक कर मैदान में आ जाओ।  #कोरोना_के_आड़_में_देश_गया_भाड़_में #कोरोना_के_आड़_में_देश_गया_भाड़_में  !  🙏🌷🌺🌹🌷🙏 https://t.co/xktmeDt72L,0,NONE,साथियों अभी कुछ कमी नजर आ रही है भर दो हुंकार अपने हक के लिए ताल ठोक कर मैदान में आ जाओ कोरोनाकेआड़मेंदेशगयाभाड़में कोरोनाकेआड़मेंदेशगयाभाड़में,0
कितना मुश्किल है इस मुल्क में मुसलमान होना😥😥😥😥 #JusticeForShahabuddin,1,HATE,कितना मुश्किल है इस मुल्क में मुसलमान होना,1
@priyankagandhi तेरे बाप ने कल प्रेस कॉन्फ्रेंस करके वैक्सीनेशन की जिम्मेदारी ले ली है अब ज्यादा रंडी रोना मत कर,1,PRFN,तेरे बाप ने कल प्रेस कॉन्फ्रेंस करके वैक्सीनेशन की जिम्मेदारी ले ली है अब ज्यादा रंडी रोना मत कर,1
RT @agrwal_akhil: ये कश्मीर नहीं ये पश्चिम बंगाल जहाँ #TMC के गुंडे हिंदू नागरिकों पर पत्थर चला रहे जिससे वो वोट ना कर सके #MamataBanerjee…,1,HATE,ये कश्मीर नहीं ये पश्चिम बंगाल जहाँ के गुंडे हिंदू नागरिकों पर पत्थर चला रहे जिससे वो वोट ना कर सके,1
@Kashi_Ka_Pandit क्या हुतियापंती करती रही कांग्रेस और हममें से किसी को कुछ फर्क भी नही पड़ा।कैसे लोग थे हमसे पहले वाली पीढ़ी के😡😡😡😡😡😡जानकारी का अभाव और सज्जनता ये दो ही कारण दिखाई पड़ते हैं जो कांग्रेस लोगों को मूर्ख बना सकी?,1,HATE,क्या हुतियापंती करती रही कांग्रेस और हममें से किसी को कुछ फर्क भी नही पड़ाकैसे लोग थे हमसे पहले वाली पीढ़ी केजानकारी का अभाव और सज्जनता ये दो ही कारण दिखाई पड़ते हैं जो कांग्रेस लोगों को मूर्ख बना सकी,1
RT @kkvarun5: @VedTiwari @ArvindKejriwal @kunalkamra88 @ArvindKejriwal क्या ये मॉब लिचिंग तो नहीं है ना सर् जी।,0,NONE,क्या ये मॉब लिचिंग तो नहीं है ना सर् जी,0
#नरेंद्र_मोदी_ग्लोबल_पप्पू #ModiKaVaccineJumla #ModiMustResign Is trending meanwhile m(g)odi bhakts ÷ https://t.co/CmZVSBiueK,1,OFFN,नरेंद्रमोदीग्लोबलपप्पू,1
@myogiadityanath ॐसांती,0,NONE,ॐसांती,0
RT @yskabirisgod1: मुसलमान धर्म के अंदर अभी तक जितने भी नबी हुए हैं उनमे से किसी को भी उस #Allah_Kabir के बारे में सही जानकारी नही मिल सकी…,1,HATE,मुसलमान धर्म के अंदर अभी तक जितने भी नबी हुए हैं उनमे से किसी को भी उस के बारे में सही जानकारी नही मिल सकी,1
हमारे कब्र में पाँव लटके हुऐ है।   #IndianMedicalServices #OxygenShortage  #COVID19 #IndiaCovidCrisis,0,NONE,हमारे कब्र में पाँव लटके हुऐ है,0
@A_4_AD सच मे कुतिया जैसी लग रही 😐,1,OFFN,सच मे कुतिया जैसी लग रही,1
"TIME मैगजीन ने प्रधानमंत्री मोदी को बताया, ‘डिवाइडर इन चीफ’, ‘रिफॉर्मर’ https://t.co/JZu4aLGRE5",1,OFFN,मैगजीन ने प्रधानमंत्री मोदी को बताया डिवाइडर इन चीफ रिफॉर्मर,1
"राजीव बनर्जी का आरोप केंद्र बंगाल सरकार को धमका रही है।                         कमिने को पता         है कि   बंगाल सरकार हिंदूओं की हत्या, बलात्कार कर वा रही है। बंगाल  को कश्मीर बनने जा रही है। आरोप केंद्र सरकार पर।",1,OFFN,राजीव बनर्जी का आरोप केंद्र बंगाल सरकार को धमका रही है कमिने को पता है कि बंगाल सरकार हिंदूओं की हत्या बलात्कार कर वा रही है बंगाल को कश्मीर बनने जा रही है आरोप केंद्र सरकार पर,1
"कुरआन पाक में साफ साफ लिखा है ""कुफ़्फ़ार-ला-ऐतबार""  ऐ इमान वालो काफिरों पर यकीन मत करो, ये पीठ पीछे वार करते है!! #JusticeForShahabuddin  @cho_sabir @Alpanah51 @SehrawatNaeem",1,HATE,कुरआन पाक में साफ साफ लिखा है कुफ़्फ़ारलाऐतबार ऐ इमान वालो काफिरों पर यकीन मत करो ये पीठ पीछे वार करते है,1
बेटा पहले आपनी नौकरी तो कर ले वरना राहुल बाबा तेरी पगार काट लेगे,0,NONE,बेटा पहले आपनी नौकरी तो कर ले वरना राहुल बाबा तेरी पगार काट लेगे,0
@MaryamNSharif Hahaha khaab dekhna achi bt hai..,0,NONE,,0
RT @NAgarwal8: कांग्रेस और कांग्रेसी राजस्थान के अलवर दुष्कर्म कांड पर कुछ नहीं बोलते इतने भयंकर कांड को इन्होंने वोट की खातिर दबाया क्यों?…,1,HATE,कांग्रेस और कांग्रेसी राजस्थान के अलवर दुष्कर्म कांड पर कुछ नहीं बोलते इतने भयंकर कांड को इन्होंने वोट की खातिर दबाया क्यों,1
"""मिले ख़ाक में नौजवान कैसे कैसे  ज़मी खा गई आसमान कैसे कैसे""  #JusticeForShahabuddin https://t.co/rBN197ertn",0,NONE,मिले ख़ाक में नौजवान कैसे कैसे ज़मी खा गई आसमान कैसे कैसे,0
@ParmanandSant @ArvindKejriwal @raghav_chadha @TimesNow @IndiaToday @indiatvnews @_Aaj_Tak @ZeeNewsEnglish @LtGovDelhi ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,0,NONE,मनहुसमोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है मानवता केलिऐ देशभक्त हो तो,0
मैं बहुत पहले से इन दोगला चेहरे वाले बोलीवूढ़ियाओं की पिक्चर देखना बंद कर दिया था । https://t.co/bOYxeKhBQv,1,HATE,मैं बहुत पहले से इन दोगला चेहरे वाले बोलीवूढ़ियाओं की पिक्चर देखना बंद कर दिया था,1
"RT @AnkitLal: अब तो बस यही बचा है कि मोदी जी बोले कि उन्होंने हर जहाज पर खुद जाकर काला टीका लगाया था ताकि दुश्मन की बुरी नज़र से बच सके।

ज…",0,NONE,अब तो बस यही बचा है कि मोदी जी बोले कि उन्होंने हर जहाज पर खुद जाकर काला टीका लगाया था ताकि दुश्मन की बुरी नज़र से बच सके ज,0
बीजेपी के 5 कार्यकर्तों की मौत पर राष्ट्पति शासन की माग करने वालो! ऑक्सीजन की कमी से होने वाली लाखों मौतों पर तो मोदी-शाह को इस्तीफा दे देना चाहिए। #ResignModi #FailedPMModi,1,HATE,बीजेपी के कार्यकर्तों की मौत पर राष्ट्पति शासन की माग करने वालो ऑक्सीजन की कमी से होने वाली लाखों मौतों पर तो मोदीशाह को इस्तीफा दे देना चाहिए,1
इसके लिए सरकारें जिम्मेदार  @DainikBhaskar @PMOIndia  #COVID19India  #CovidVaccine https://t.co/nzEoraNIIx,0,NONE,इसके लिए सरकारें जिम्मेदार,0
7 साल से भुट्टे भूज रहे थे? #ResignModi https://t.co/fe0go5dTA0,1,OFFN,साल से भुट्टे भूज रहे थे,1
ग़ज़ब नौटंकी है।हे राम हमें इस सरकार से बचाओ। #ResignModi  #FarmLawsWorstThanCOVID https://t.co/ynjLmOuGiC,0,NONE,ग़ज़ब नौटंकी हैहे राम हमें इस सरकार से बचाओ,0
@ShilpiSinghINC अब तो बेजुबान जानवर भी समझ चुका है बीजेपी का हाल https://t.co/TKDMxCGR6e,0,NONE,अब तो बेजुबान जानवर भी समझ चुका है बीजेपी का हाल,0
"RT @RakeshT73827202: राहुल गांधी ने तो खुलकर अपनी पसंद बता दी।😜
अब BMW को भी स्पष्ट कर देना चाहिए कि हकीकत क्या है?😂
यह एकतरफा प्यार है या…",1,OFFN,राहुल गांधी ने तो खुलकर अपनी पसंद बता दी अब को भी स्पष्ट कर देना चाहिए कि हकीकत क्या है यह एकतरफा प्यार है या,1
@Bina_Singh2 @AjitKanasagra @DelhiPolice इस कुत्ते की ऐसी ठुकाई होनी चाहिए कि यह साला सूअर का पिल्ला दोबारा ऐसी गलती मत करें,1,OFFN,इस कुत्ते की ऐसी ठुकाई होनी चाहिए कि यह साला सूअर का पिल्ला दोबारा ऐसी गलती मत करें,1
"""अधिक दिनो तक मौन रहे तो गूंगे कहलाओगे ज़िंदा नज़र नही आओगे तो सच में मर जाओगे"" @Aminamalik1190 #जस्टिस_फॉर_शहाबुद्दीन  #JusticeForShahabuddin #JusticeForShahabuddin",0,NONE,अधिक दिनो तक मौन रहे तो गूंगे कहलाओगे ज़िंदा नज़र नही आओगे तो सच में मर जाओगे जस्टिसफॉरशहाबुद्दीन,0
@chitraaum बहन आपसे उम्मित हे आप इस विषय पर संज्ञान ले और आपके बुलेटिन मे ये जरुर दिखाये आपको पता तो होगा ही की ये बहन कौन हे   #Bengal #BengalBurning #BengalViolence https://t.co/656K4tqARY,0,NONE,बहन आपसे उम्मित हे आप इस विषय पर संज्ञान ले और आपके बुलेटिन मे ये जरुर दिखाये आपको पता तो होगा ही की ये बहन कौन हे,0
"RT @Punitspeaks: ये हैं @ArvindKejriwal के बारे में आन्ना हज़ारे की राय। जो अपने गुरु का सगा नहीं हुआ अपने बच्चों का नहीं हुआ, अपने साथियों…",1,OFFN,ये हैं के बारे में आन्ना हज़ारे की राय जो अपने गुरु का सगा नहीं हुआ अपने बच्चों का नहीं हुआ अपने साथियों,1
"मै बचाता रहा.. दीमकों से घर अपना,  और चंद कुर्सी के कीड़े ..पूरा मुल्क खा गए"". #ResignPMmodi",0,NONE,मै बचाता रहा दीमकों से घर अपना और चंद कुर्सी के कीड़े पूरा मुल्क खा गए,0
"RT @uN5hUMittal: @Meenakshi7771 बताओ चमचो को कोई और काम ही नही है। मोदी जी के कपड़े गिनने के सिवा। ।

लगे रहो ऐसे ही।।",1,HATE,बताओ चमचो को कोई और काम ही नही है मोदी जी के कपड़े गिनने के सिवा लगे रहो ऐसे ही,1
